3863498.LOFI	hip-hop	150.0
4633603.LOFI	hip-hop	139.0
3958395.LOFI	funk-r-and-b	136.0
3733281.LOFI	reggae-dub	70.0
1874244.LOFI	reggae-dub	71.0
3892740.LOFI	pop-rock	129.0
1743969.LOFI	pop-rock	79.0
3151015.LOFI	pop-rock	174.0
4093555.LOFI	glitch-hop	92.0
3983645.LOFI	glitch-hop	110.0
5070846.LOFI	glitch-hop	110.0
4714481.LOFI	glitch-hop	112.0
4468729.LOFI	glitch-hop	160.0
4703149.LOFI	glitch-hop	110.0
1839656.LOFI	dubstep	140.0
4936740.LOFI	dubstep	142.0
3577628.LOFI	dubstep	139.0
4163587.LOFI	dubstep	127.0
3875632.LOFI	dubstep	139.0
4020698.LOFI	dubstep	141.0
210560.LOFI	chill-out	78.0
4091609.LOFI	chill-out	80.0
1885798.LOFI	chill-out	101.0
3658743.LOFI	chill-out	144.0
172384.LOFI	chill-out	84.0
426992.LOFI	breaks	167.0
4694833.LOFI	breaks	144.0
4800274.LOFI	breaks	141.0
4773948.LOFI	breaks	139.0
3467867.LOFI	drum-and-bass	170.0
672063.LOFI	drum-and-bass	174.0
3907042.LOFI	drum-and-bass	170.0
2725286.LOFI	drum-and-bass	174.0
4331667.LOFI	drum-and-bass	174.0
5261461.LOFI	house	174.0
2013128.LOFI	house	127.0
5135326.LOFI	house	130.0
1791554.LOFI	techno	125.0
2677224.LOFI	techno	127.0
2726353.LOFI	techno	117.0
